상권_코드_명,1분기 covid 영향력,2분기 covid 영향력,3분기 covid 영향력,4분기 covid 영향력,상권_평균_점포수(scaling),상권_평균_점포수,segment
삼선교로16가길,-0.6304,-0.7386999999999999,-0.5921000000000001,-0.7323999999999999,-1.0177,26.0,15
삼양로144길,-0.19229999999999992,-0.24329999999999985,-0.18969999999999998,-0.3459000000000001,0.3292,91.0,16
삼양로27길,-0.13149999999999995,-0.1633,-0.11450000000000005,-0.0928,-0.2934,51.0,14
삼양로41길,-0.18059999999999998,-0.14589999999999992,-0.2552000000000001,-0.26070000000000004,0.1068,74.0,9
삼일대로4길,-0.4828,-0.4952000000000001,-0.4523999999999999,-0.3893,-0.0326,65.0,24
상도로37길,-0.11239999999999994,-0.09870000000000001,-0.07930000000000004,-0.15150000000000008,0.0316,69.0,9
상도로47길,-0.005400000000000071,-0.1842999999999999,-0.09730000000000005,-0.5913,-0.5021,42.0,0
상도로61길,-0.4427,-0.5087999999999999,-0.4242,-0.5232,0.9558,163.0,1
상도로62길,-0.1945,-0.2209000000000001,-0.12570000000000003,-0.14350000000000007,0.3867,96.0,20
상도전통시장,-0.12149999999999994,-0.042100000000000026,-0.045600000000000085,-0.12519999999999998,0.3292,91.0,20
상원12길,-0.33630000000000004,-0.3379,-0.2704000000000001,-0.28410000000000013,-0.1367,59.0,24
새석관시장,0.14760000000000006,-0.11350000000000005,-0.6957,0.6007000000000001,-2.5941,6.0,11
서교시장,-0.024700000000000055,-0.2627999999999999,-0.32700000000000007,-0.5786,-1.5397,16.0,19
서달로10길,-0.18079999999999996,0.13540000000000008,0.24159999999999993,0.23060000000000003,-1.6832,14.0,4
서달로14길,-0.5574,-0.6399999999999999,-0.47860000000000014,-0.6513000000000001,-1.609,15.0,6
서달로15길,-0.09189999999999998,-0.15170000000000006,-0.16879999999999995,-0.29090000000000005,0.1634,78.0,9
서달로8가길,-0.5129,-0.47499999999999987,-0.1955,-0.3262999999999999,-0.9003,29.0,12
서대문구 서대문역_1,-0.08289999999999997,-0.2546999999999999,-0.29720000000000013,-0.12129999999999996,0.0316,69.0,9
서대문구 서대문역_2,-0.02839999999999998,-0.11909999999999987,-0.15579999999999994,-0.2694000000000001,1.0744,182.0,17
서울 강동구 둔촌동역,0.01880000000000004,0.06009999999999993,0.06300000000000006,-0.14,0.7999,141.0,13
서울 광진구 건대입구역_1,-0.36050000000000004,-0.3618,-0.3690999999999999,-0.3827999999999999,1.0383,176.0,1
서울 광진구 건대입구역_2,-0.26549999999999996,-0.29259999999999997,-0.34950000000000003,-0.45219999999999994,2.2594,548.0,3
서울 광진구 구의역,-0.057600000000000096,-0.0978,-0.1391,-0.30390000000000006,1.5451,282.0,21
서울 광진구 군자역,-0.17389999999999994,-0.23130000000000006,-0.2856000000000001,-0.4233000000000001,1.4661,262.0,21
서울 노원구 노원역_1,-0.07469999999999988,-0.0351999999999999,-0.0615,-0.15170000000000006,0.7371,133.0,13
서울 노원구 노원역_2,-0.07740000000000002,-0.05599999999999994,-0.10230000000000006,-0.10839999999999994,0.1213,75.0,9
서울 노원구 노원역_3,-0.2580999999999999,-0.27839999999999987,-0.2773000000000001,-0.32330000000000003,2.2476,542.0,3
서울 동대문구 청량리역,-0.4436,-0.4637,-0.551,-0.6225999999999999,1.6911,323.0,21
서울 마포구 홍대입구역_1,-0.22830000000000006,-0.2500000000000001,-0.22930000000000006,-0.3833,0.5993,117.0,16
서울 마포구 홍대입구역_3,-0.05599999999999994,-0.04139999999999999,-0.07099999999999995,-0.132,0.9223,158.0,13
